agent_id,final_elo_normal,win_rate_normal,average_rank_normal,kills_normal,suicides_normal,final_elo_fow,win_rate_fow,average_rank_fow,kills_fow,suicides_fow
Backtracking,1678.44,0.29545454545454547,2.1136363636363638,18,28,1675.34,0.2909090909090909,2.15,15,33
A*,1657.77,0.38636363636363635,2.0272727272727273,75,73,1644.73,0.40454545454545454,2.0045454545454544,62,67
SimulatedAnnealing,1647.29,0.34545454545454546,2.131818181818182,25,59,1635.27,0.34545454545454546,2.2,27,56
HillClimbing,1616.13,0.35,2.140909090909091,67,84,1569.95,0.3090909090909091,2.2409090909090907,51,100
MinConflicts,1597.68,0.30454545454545456,2.3227272727272728,43,47,1595.2,0.30454545454545456,2.2772727272727273,41,51
BFS,1581.25,0.32272727272727275,2.418181818181818,39,95,1513.21,0.35454545454545455,2.3727272727272726,50,81
Greedy,1566.96,0.5,1.95,71,71,1650.02,0.5045454545454545,1.8863636363636365,64,67
Minimax,1538.59,0.11818181818181818,2.581818181818182,33,73,1544.55,0.12727272727272726,2.5636363636363635,35,77
AndOrSearch,1528.0,0.15454545454545454,2.577272727272727,20,79,1560.24,0.18181818181818182,2.581818181818182,25,77
OnlineSearch,1476.05,0.12727272727272726,2.7045454545454546,34,145,1455.05,0.08636363636363636,2.6954545454545453,39,137
DFS,1463.27,0.2636363636363636,2.7772727272727273,13,117,1479.81,0.2636363636363636,2.8,11,114
Expectimax,1411.75,0.08181818181818182,2.8181818181818183,34,72,1419.1,0.07727272727272727,2.8045454545454547,37,79
Random,979.35,0.0,3.9363636363636365,0,214,999.51,0.0,3.922727272727273,0,216
