agent_id,matches_played,wins,average_rank,average_survival_steps,average_latency_ms,kills,suicides,bricks_destroyed,items_collected,final_elo,win_rate
Backtracking,220,64,2.15,223.32272727272726,71.4775909090909,15,33,896,320,1675.34,0.2909090909090909
Greedy,220,111,1.8863636363636365,187.41363636363636,77.51136363636364,64,67,2488,1078,1650.02,0.5045454545454545
A*,220,89,2.0045454545454544,177.8409090909091,81.6474090909091,62,67,2392,1130,1644.73,0.40454545454545454
SimulatedAnnealing,220,76,2.2,183.12272727272727,70.64718181818182,27,56,1069,401,1635.27,0.34545454545454546
MinConflicts,220,67,2.2772727272727273,176.88636363636363,81.59763636363637,41,51,1712,770,1595.2,0.30454545454545456
HillClimbing,220,68,2.2409090909090907,159.8090909090909,69.38540909090909,51,100,1893,720,1569.95,0.3090909090909091
AndOrSearch,220,40,2.581818181818182,181.49545454545455,69.80422727272727,25,77,999,348,1560.24,0.18181818181818182
Minimax,220,28,2.5636363636363635,186.3,69.3245,35,77,922,367,1544.55,0.12727272727272726
BFS,220,78,2.3727272727272726,138.42727272727274,74.99840909090909,50,81,2256,839,1513.21,0.35454545454545455
DFS,220,58,2.8,118.77727272727273,73.86477272727272,11,114,763,255,1479.81,0.2636363636363636
OnlineSearch,220,19,2.6954545454545453,143.0681818181818,69.68413636363637,39,137,1196,415,1455.05,0.08636363636363636
Expectimax,220,17,2.8045454545454547,175.37272727272727,69.64190909090908,37,79,1023,405,1419.1,0.07727272727272727
Random,220,0,3.922727272727273,16.736363636363638,0.020954545454545455,0,216,154,5,999.51,0.0
