match_id,seed,steps,winner_id,agent_id,rank,survival_steps,kills,suicides,bricks_destroyed,items_collected,avg_latency_ms,elo_after_match
g0,43,40,A*,Random,4,13,0,1,1,0,0.03,1488.14
g0,43,40,A*,BFS,2,40,0,1,10,4,77.37,1504.14
g0,43,40,A*,DFS,3,17,0,1,3,0,71.89,1496.19
g0,43,40,A*,A*,1,40,0,0,5,3,80.12,1512.0
g0,44,38,DFS,Random,4,16,0,1,0,0,0.03,1476.69
g0,44,38,DFS,BFS,2,38,1,1,6,1,77.42,1507.95
g0,44,38,DFS,DFS,1,38,0,0,0,0,74.13,1508.23
g0,44,38,DFS,HillClimbing,3,38,0,0,2,1,70.47,1496.05
g0,45,64,SimulatedAnnealing,Random,4,9,0,1,0,0,0.04,1465.81
g0,45,64,SimulatedAnnealing,BFS,2,64,0,0,9,2,76.74,1511.64
g0,45,64,SimulatedAnnealing,DFS,3,64,0,0,7,3,75.05,1503.95
g0,45,64,SimulatedAnnealing,SimulatedAnnealing,1,64,2,0,8,4,71.73,1511.92
g0,47,91,MinConflicts,Random,4,12,0,1,0,0,0.02,1455.29
g0,47,91,MinConflicts,BFS,2,91,1,0,14,6,75.36,1515.03
g0,47,91,MinConflicts,DFS,3,54,0,0,4,3,76.37,1499.73
g0,47,91,MinConflicts,MinConflicts,1,91,1,0,4,2,81.15,1511.79
g0,48,97,BFS,Random,4,10,0,1,1,0,0.02,1445.11
g0,48,97,BFS,BFS,1,97,0,0,21,7,74.5,1526.0
g0,48,97,BFS,DFS,2,97,1,1,0,2,75.5,1503.52
g0,48,97,BFS,OnlineSearch,3,97,0,0,9,4,69.61,1495.83
g0,50,61,,Random,3,30,0,1,1,0,0.02,1443.47
g0,50,61,,BFS,1,61,0,0,13,3,72.65,1536.53
g0,50,61,,DFS,4,8,0,1,1,0,71.2,1491.22
g0,50,61,,Minimax,2,61,1,1,1,0,68.8,1503.83
g0,46,300,,Random,4,24,0,1,1,0,0.02,1433.82
g0,46,300,,BFS,1,300,0,0,11,3,79.25,1546.55
g0,46,300,,DFS,3,43,0,0,7,3,74.32,1487.45
g0,46,300,,Backtracking,2,300,1,0,2,3,71.84,1503.79
g0,51,56,DFS,Random,4,28,0,1,0,0,0.02,1424.54
g0,51,56,DFS,BFS,2,56,1,1,15,4,75.28,1548.22
g0,51,56,DFS,DFS,1,56,0,0,0,0,73.55,1499.66
g0,51,56,DFS,Expectimax,3,56,0,0,6,1,70.27,1495.79
g0,42,300,,Random,4,10,0,1,0,0,0.05,1415.71
g0,42,300,,BFS,1,300,0,0,4,1,74.1,1557.75
g0,42,300,,DFS,3,180,0,1,1,0,73.1,1495.52
g0,42,300,,Greedy,2,300,0,0,0,1,77.24,1503.8
g0,49,300,,Random,4,10,0,1,1,0,0.02,1407.2
g0,49,300,,BFS,1,300,0,0,8,3,77.67,1566.83
g0,49,300,,DFS,3,17,0,1,3,0,71.6,1491.52
g0,49,300,,AndOrSearch,2,300,0,0,2,1,70.26,1503.76
g0,54,75,Greedy,Random,4,19,0,1,2,0,0.02,1399.26
g0,54,75,Greedy,BFS,2,75,0,1,16,10,76.34,1567.9
g0,54,75,Greedy,Greedy,1,75,1,0,11,5,76.8,1515.53
g0,54,75,Greedy,SimulatedAnnealing,3,65,0,0,4,0,70.9,1507.43
g0,53,169,Greedy,Random,4,22,0,0,1,0,0.02,1391.53
g0,53,169,Greedy,BFS,3,39,0,0,4,0,71.66,1560.85
g0,53,169,Greedy,Greedy,1,169,2,0,22,7,76.09,1526.61
g0,53,169,Greedy,HillClimbing,2,169,1,0,3,2,68.88,1500.13
g0,56,63,Greedy,Random,4,10,0,1,1,0,0.02,1384.22
g0,56,63,Greedy,BFS,2,63,0,1,13,4,73.58,1562.21
g0,56,63,Greedy,Greedy,1,63,0,0,9,5,74.98,1537.35
g0,56,63,Greedy,MinConflicts,3,29,0,1,1,0,80.28,1507.33
g0,58,62,Greedy,Random,4,31,0,0,1,0,0.02,1377.16
g0,58,62,Greedy,BFS,2,62,1,1,16,5,73.45,1563.49
g0,58,62,Greedy,Greedy,1,62,1,0,2,0,75.82,1547.59
g0,58,62,Greedy,AndOrSearch,3,50,0,0,3,1,69.07,1499.62
g0,52,300,,Random,4,10,0,1,0,0,0.02,1370.48
g0,52,300,,BFS,3,47,0,0,7,1,71.86,1556.91
g0,52,300,,Greedy,1,300,0,0,9,2,76.95,1557.55
