match_id,seed,steps,winner_id,agent_id,rank,survival_steps,kills,suicides,bricks_destroyed,items_collected,avg_latency_ms,elo_after_match
g0,43,40,A*,Random,4,13,0,1,1,0,0.03,1488.14
g0,43,40,A*,BFS,2,40,0,1,10,4,75.36,1504.14
g0,43,40,A*,DFS,3,17,0,1,3,0,70.38,1496.19
g0,43,40,A*,A*,1,40,0,0,5,3,79.83,1512.0
g0,44,38,DFS,Random,4,16,0,1,0,0,0.03,1476.69
g0,44,38,DFS,BFS,2,38,1,1,6,1,75.27,1507.95
g0,44,38,DFS,DFS,1,38,0,0,0,0,71.8,1508.23
g0,44,38,DFS,HillClimbing,3,38,0,0,2,1,68.19,1496.05
g0,45,105,SimulatedAnnealing,Random,4,9,0,1,0,0,0.03,1465.81
g0,45,105,SimulatedAnnealing,BFS,2,105,0,1,15,5,76.04,1511.64
g0,45,105,SimulatedAnnealing,DFS,3,79,0,1,8,7,73.18,1503.95
g0,45,105,SimulatedAnnealing,SimulatedAnnealing,1,105,0,0,11,4,69.77,1511.92
g0,47,115,MinConflicts,Random,4,12,0,1,0,0,0.02,1455.29
g0,47,115,MinConflicts,BFS,2,115,1,1,16,7,74.87,1515.03
g0,47,115,MinConflicts,DFS,3,54,0,0,4,3,76.46,1499.73
g0,47,115,MinConflicts,MinConflicts,1,115,0,0,5,1,82.36,1511.79
g0,48,84,DFS,Random,4,10,0,1,1,0,0.02,1445.11
g0,48,84,DFS,BFS,3,73,0,1,3,2,75.86,1510.18
g0,48,84,DFS,DFS,1,84,0,0,0,0,74.38,1511.4
g0,48,84,DFS,OnlineSearch,2,84,0,1,15,4,68.7,1503.79
g0,50,61,,Random,3,30,0,1,1,0,0.02,1443.4
g0,50,61,,BFS,1,61,0,0,13,3,71.97,1521.34
g0,50,61,,DFS,4,8,0,1,1,0,70.88,1498.65
g0,50,61,,Minimax,2,61,1,1,1,0,67.93,1503.75
g0,46,300,,Random,4,24,0,1,1,0,0.02,1433.67
g0,46,300,,BFS,1,300,0,0,11,3,79.45,1531.95
g0,46,300,,DFS,3,43,0,0,7,3,73.81,1494.46
g0,46,300,,Backtracking,2,300,1,0,2,3,71.4,1503.71
g0,42,300,,Random,4,10,0,1,0,0,0.03,1424.32
g0,42,300,,BFS,1,300,0,0,4,1,72.8,1542.05
g0,42,300,,DFS,3,180,0,1,1,0,72.92,1490.42
g0,42,300,,Greedy,2,300,0,0,0,1,77.28,1503.66
g0,51,56,DFS,Random,4,28,0,1,0,0,0.02,1415.34
g0,51,56,DFS,BFS,2,56,1,1,15,4,73.19,1543.81
g0,51,56,DFS,DFS,1,56,0,0,0,0,71.42,1502.37
g0,51,56,DFS,Expectimax,3,56,0,0,6,1,68.83,1495.67
g0,49,300,,Random,4,10,0,1,1,0,0.02,1406.78
g0,49,300,,BFS,1,300,0,0,8,3,77.44,1553.41
g0,49,300,,DFS,3,17,0,1,3,0,71.63,1497.98
g0,49,300,,AndOrSearch,2,300,0,0,2,1,69.01,1503.68
g0,54,133,Greedy,Random,4,19,0,1,2,0,0.02,1398.73
g0,54,133,Greedy,BFS,3,75,0,1,16,10,75.14,1546.94
g0,54,133,Greedy,Greedy,1,133,0,0,17,9,75.86,1515.24
g0,54,133,Greedy,SimulatedAnnealing,2,133,0,1,4,2,69.6,1515.26
g0,53,158,BFS,Random,4,22,0,0,1,0,0.02,1390.8
g0,53,158,BFS,BFS,1,158,0,0,6,3,72.56,1556.39
