agent_id,matches_played,wins,average_rank,average_survival_steps,average_latency_ms,kills,suicides,bricks_destroyed,items_collected,final_elo,win_rate
HillClimbing,220,130,1.7,251.48181818181817,67.82295454545454,1,13,15,99,1874.98,0.5909090909090909
SimulatedAnnealing,220,109,1.709090909090909,250.5681818181818,76.19013636363637,7,4,643,596,1786.55,0.4954545454545455
Backtracking,220,72,2.0681818181818183,239.5909090909091,67.82745454545454,16,27,1009,491,1653.58,0.32727272727272727
MinConflicts,220,52,2.231818181818182,208.98636363636365,76.6485,33,57,1952,967,1620.79,0.23636363636363636
DFS,220,113,2.0636363636363635,188.8318181818182,66.45318181818182,10,70,1300,229,1554.88,0.5136363636363637
AndOrSearch,220,27,2.577272727272727,206.24545454545455,66.64318181818182,20,82,1057,422,1509.9,0.12272727272727273
Minimax,220,36,2.6,192.78181818181818,66.53563636363637,77,87,1584,525,1493.44,0.16363636363636364
Greedy,220,35,2.7590909090909093,129.79090909090908,66.50740909090909,19,131,2205,484,1477.94,0.1590909090909091
BFS,220,57,2.5454545454545454,134.6590909090909,66.698,19,132,2470,535,1465.37,0.2590909090909091
OnlineSearch,220,32,2.672727272727273,139.7590909090909,66.66977272727273,27,133,1202,402,1462.48,0.14545454545454545
A*,220,26,2.9136363636363636,119.66818181818182,66.61259090909091,16,141,2184,471,1408.97,0.11818181818181818
Expectimax,220,25,2.7363636363636363,187.48636363636365,66.73936363636363,60,85,1443,476,1402.81,0.11363636363636363
Random,220,1,3.922727272727273,19.759090909090908,0.020272727272727272,0,216,209,13,1004.73,0.004545454545454545
