agent_id,matches_played,wins,average_rank,average_survival_steps,average_latency_ms,kills,suicides,bricks_destroyed,items_collected,final_elo,win_rate
HillClimbing,220,130,1.7363636363636363,240.23181818181817,67.60631818181818,0,13,16,91,1842.14,0.5909090909090909
SimulatedAnnealing,220,114,1.690909090909091,246.95909090909092,76.95795454545454,2,7,545,535,1784.07,0.5181818181818182
Backtracking,220,68,2.081818181818182,241.3090909090909,67.94513636363637,16,22,973,492,1670.74,0.3090909090909091
MinConflicts,220,54,2.2636363636363637,203.51818181818183,76.92631818181819,42,67,1968,968,1597.37,0.24545454545454545
Minimax,220,34,2.536363636363636,207.5681818181818,66.25527272727273,62,74,1576,540,1561.95,0.15454545454545454
DFS,220,102,2.131818181818182,179.9409090909091,68.56445454545455,12,81,1305,221,1537.58,0.4636363636363636
AndOrSearch,220,37,2.5545454545454547,201.83636363636364,66.32372727272727,23,83,1045,403,1500.59,0.16818181818181818
OnlineSearch,220,36,2.6136363636363638,143.8590909090909,66.2754090909091,25,133,1221,423,1494.14,0.16363636363636364
Greedy,220,29,2.8181818181818183,124.62727272727273,66.3155,22,135,2261,484,1448.9,0.1318181818181818
BFS,220,56,2.55,131.85,66.64227272727273,21,134,2443,532,1445.15,0.2545454545454545
Expectimax,220,28,2.6863636363636365,190.03181818181818,66.28745454545455,67,82,1455,485,1441.18,0.12727272727272726
A*,220,26,2.909090909090909,122.17727272727272,66.305,20,137,2219,477,1407.47,0.11818181818181818
Random,220,1,3.9272727272727272,19.795454545454547,0.020545454545454547,0,217,209,12,988.69,0.004545454545454545
