match_id,seed,steps,winner_id,agent_id,rank,survival_steps,kills,suicides,bricks_destroyed,items_collected,avg_latency_ms,elo_after_match
g0,43,63,BFS,Random,4,22,0,1,1,0,0.03,1488.14
g0,43,63,BFS,BFS,1,63,0,0,11,2,67.77,1512.0
g0,43,63,BFS,DFS,2,63,0,1,0,0,66.77,1504.14
g0,43,63,BFS,A*,3,57,0,1,9,1,66.91,1496.19
g0,42,138,Greedy,Random,4,10,0,1,0,0,0.03,1476.87
g0,42,138,Greedy,BFS,3,58,0,1,11,3,68.0,1507.68
g0,42,138,Greedy,DFS,2,138,0,1,6,1,66.39,1508.14
g0,42,138,Greedy,Greedy,1,138,0,0,14,2,66.29,1512.05
g0,45,161,BFS,Random,4,13,0,1,1,0,0.03,1465.98
g0,45,161,BFS,BFS,1,161,0,0,22,5,67.22,1519.24
g0,45,161,BFS,DFS,3,133,0,1,11,5,66.04,1503.86
g0,45,161,BFS,SimulatedAnnealing,2,161,0,1,2,3,76.39,1504.05
g0,48,44,BFS,Random,4,10,0,1,1,0,0.02,1455.53
g0,48,44,BFS,BFS,1,44,0,0,5,3,66.02,1530.24
g0,48,44,BFS,DFS,2,44,0,1,5,2,65.69,1507.68
g0,48,44,BFS,OnlineSearch,3,16,0,1,3,0,64.38,1496.05
g0,44,300,,Random,4,10,0,1,2,0,0.04,1445.6
g0,44,300,,BFS,3,83,0,1,14,3,68.41,1524.96
g0,44,300,,DFS,1,300,0,0,1,0,66.39,1519.26
g0,44,300,,HillClimbing,2,300,0,0,0,0,66.74,1504.06
g0,49,39,AndOrSearch,Random,4,21,0,1,1,0,0.02,1436.07
g0,49,39,AndOrSearch,BFS,3,33,0,1,6,1,65.85,1519.89
g0,49,39,AndOrSearch,DFS,2,39,0,1,6,2,66.86,1522.4
g0,49,39,AndOrSearch,AndOrSearch,1,39,0,0,1,0,67.03,1511.89
g0,51,35,DFS,Random,4,13,0,1,0,0,0.02,1426.82
