match_id,seed,steps,winner_id,agent_id,rank,survival_steps,kills,suicides,bricks_destroyed,items_collected,avg_latency_ms,elo_after_match
g0,43,63,BFS,Random,4,22,0,1,1,0,0.03,1488.14
g0,43,63,BFS,BFS,1,63,0,0,11,2,68.19,1512.0
g0,43,63,BFS,DFS,2,63,0,1,0,0,66.18,1504.14
g0,43,63,BFS,A*,3,57,0,1,9,1,65.5,1496.19
g0,45,86,SimulatedAnnealing,Random,4,13,0,1,1,0,0.03,1476.87
g0,45,86,SimulatedAnnealing,BFS,3,49,0,1,8,1,69.46,1507.68
g0,45,86,SimulatedAnnealing,DFS,2,86,0,1,11,2,65.77,1508.14
g0,45,86,SimulatedAnnealing,SimulatedAnnealing,1,86,0,0,2,2,76.65,1512.05
g0,42,138,Greedy,Random,4,10,0,1,0,0,0.03,1465.98
g0,42,138,Greedy,BFS,3,58,0,1,11,3,68.2,1503.42
g0,42,138,Greedy,DFS,2,138,0,1,6,1,66.78,1511.81
g0,42,138,Greedy,Greedy,1,138,0,0,14,2,66.01,1511.92
g0,48,44,BFS,Random,4,10,0,1,1,0,0.02,1455.45
g0,48,44,BFS,BFS,1,44,0,0,5,3,68.22,1515.05
g0,48,44,BFS,DFS,2,44,0,1,5,2,67.64,1515.19
g0,48,44,BFS,OnlineSearch,3,16,0,1,3,0,67.66,1495.96
g0,49,39,AndOrSearch,Random,4,21,0,1,1,0,0.02,1445.44
g0,49,39,AndOrSearch,BFS,3,33,0,1,6,1,64.82,1510.37
g0,49,39,AndOrSearch,DFS,2,39,0,1,6,2,65.83,1518.47
g0,49,39,AndOrSearch,AndOrSearch,1,39,0,0,1,0,65.59,1511.84
g0,44,300,,Random,4,10,0,1,2,0,0.04,1435.74
g0,44,300,,BFS,3,83,0,1,14,3,68.07,1505.78
g0,44,300,,DFS,1,300,0,0,1,0,66.6,1529.34
g0,44,300,,HillClimbing,2,300,0,0,0,0,66.84,1503.83
g0,50,48,Minimax,Random,4,12,0,1,0,0,0.02,1426.43
g0,50,48,Minimax,BFS,2,48,0,1,9,2,65.52,1509.32
g0,50,48,Minimax,DFS,3,42,0,0,4,3,66.52,1523.85
g0,50,48,Minimax,Minimax,1,48,1,0,6,3,65.33,1511.67
g0,52,37,A*,Random,4,10,0,1,0,0,0.02,1417.23
g0,52,37,A*,BFS,2,37,0,1,7,2,66.59,1512.4
g0,52,37,A*,Greedy,3,20,0,1,3,1,66.05,1506.91
g0,52,37,A*,A*,1,37,0,0,5,2,67.32,1507.73
g0,51,35,DFS,Random,4,13,0,1,0,0,0.02,1408.51
g0,51,35,DFS,BFS,2,35,0,0,4,1,67.0,1515.44
g0,51,35,DFS,DFS,1,35,0,0,0,0,67.38,1534.25
g0,51,35,DFS,Expectimax,3,32,1,1,6,3,65.99,1495.64
g0,46,300,,Random,4,10,0,1,1,0,0.02,1400.21
g0,46,300,,BFS,3,45,0,1,7,2,66.3,1510.44
g0,46,300,,DFS,1,300,0,0,7,1,66.12,1544.26
g0,46,300,,Backtracking,2,300,0,0,0,0,68.0,1503.65
g0,47,284,DFS,Random,4,12,0,1,0,0,0.02,1392.21
g0,47,284,DFS,BFS,3,38,0,1,8,2,65.75,1505.63
g0,47,284,DFS,DFS,1,284,0,0,9,1,66.38,1553.79
g0,47,284,DFS,MinConflicts,2,284,0,1,2,6,74.92,1503.62
g0,53,52,Greedy,Random,4,38,0,1,2,0,0.02,1384.07
g0,53,52,Greedy,BFS,2,52,1,1,7,1,65.81,1508.48
g0,53,52,Greedy,Greedy,1,52,0,0,7,3,65.84,1517.58
g0,53,52,Greedy,HillClimbing,3,52,0,0,0,0,67.47,1498.8
g0,54,72,SimulatedAnnealing,Random,4,23,0,1,0,0,0.02,1376.4
g0,54,72,SimulatedAnnealing,BFS,2,72,0,1,19,2,65.51,1511.38
g0,54,72,SimulatedAnnealing,Greedy,3,26,0,1,5,1,65.39,1512.11
g0,54,72,SimulatedAnnealing,SimulatedAnnealing,1,72,0,0,0,0,77.03,1522.66
g0,56,56,MinConflicts,Random,4,12,0,1,1,0,0.02,1368.85
g0,56,56,MinConflicts,BFS,3,40,0,1,6,2,65.35,1505.97
g0,56,56,MinConflicts,Greedy,2,56,0,1,9,1,65.77,1514.64
g0,56,56,MinConflicts,MinConflicts,1,56,0,0,6,3,77.2,1514.4
g0,59,69,Minimax,Random,4,12,0,1,0,0,0.02,1361.57
g0,59,69,Minimax,BFS,2,69,0,0,12,1,67.65,1508.75
g0,59,69,Minimax,Greedy,3,44,0,1,6,1,67.85,1509.07
g0,59,69,Minimax,Minimax,1,69,1,0,4,2,67.77,1522.08
g0,60,50,,Random,1,50,0,0,3,0,0.02,1378.24
g0,60,50,,BFS,2,50,1,1,10,2,67.21,1511.17
g0,60,50,,Greedy,3,47,0,1,10,2,67.24,1503.5
g0,60,50,,Expectimax,4,29,0,1,6,1,66.56,1482.6
g0,55,300,,Random,4,10,0,1,1,0,0.02,1370.55
g0,55,300,,BFS,3,58,0,1,8,1,65.5,1505.69
g0,55,300,,Greedy,1,300,0,0,22,6,66.3,1514.21
g0,55,300,,Backtracking,2,300,0,0,8,6,68.16,1506.48
g0,57,300,,Random,4,20,0,1,0,0,0.02,1363.06
g0,57,300,,BFS,1,300,0,0,4,1,66.28,1516.2
g0,57,300,,Greedy,3,64,0,1,14,2,65.97,1508.49
g0,57,300,,OnlineSearch,2,300,0,0,3,1,65.84,1499.02
g0,61,155,HillClimbing,Random,4,13,0,1,1,0,0.02,1355.86
g0,61,155,HillClimbing,BFS,2,155,0,0,20,3,67.14,1518.36
g0,61,155,HillClimbing,A*,3,155,1,1,19,6,67.4,1502.29
g0,61,155,HillClimbing,HillClimbing,1,155,0,0,0,1,69.92,1509.62
g0,58,300,,Random,4,12,0,1,0,0,0.02,1349.0
g0,58,300,,BFS,1,300,0,0,15,3,66.98,1528.43
g0,58,300,,Greedy,2,300,0,0,13,4,66.81,1511.1
g0,58,300,,AndOrSearch,3,300,0,0,7,2,66.78,1506.34
g0,62,159,SimulatedAnnealing,Random,4,12,0,1,1,0,0.02,1342.47
g0,62,159,SimulatedAnnealing,BFS,2,159,0,1,13,3,67.29,1530.28
g0,62,159,SimulatedAnnealing,A*,3,92,0,1,18,4,66.88,1497.31
g0,62,159,SimulatedAnnealing,SimulatedAnnealing,1,159,0,0,2,2,77.36,1532.65
g0,65,81,OnlineSearch,Random,4,10,0,1,2,0,0.02,1335.87
g0,65,81,OnlineSearch,BFS,3,54,0,1,11,2,67.37,1523.72
g0,65,81,OnlineSearch,A*,2,81,0,1,11,4,67.17,1500.15
g0,65,81,OnlineSearch,OnlineSearch,1,81,0,0,5,6,66.65,1509.67
g0,64,109,MinConflicts,Random,4,10,0,1,0,0,0.02,1329.56
g0,64,109,MinConflicts,BFS,3,30,0,1,5,0,66.58,1517.52
g0,64,109,MinConflicts,A*,2,109,0,1,17,5,66.52,1502.94
g0,64,109,MinConflicts,MinConflicts,1,109,0,0,9,2,76.32,1524.45
g0,63,300,,Random,4,17,0,1,1,0,0.02,1323.32
g0,63,300,,BFS,3,107,0,0,17,5,67.63,1511.39
g0,63,300,,A*,1,300,0,0,15,3,65.91,1513.3
g0,63,300,,Backtracking,2,300,1,0,5,2,68.23,1508.81
g0,67,133,Minimax,Random,4,10,0,1,0,0,0.02,1317.4
g0,67,133,Minimax,BFS,3,52,0,1,11,3,64.42,1505.7
g0,67,133,Minimax,A*,2,133,0,1,16,3,65.23,1515.5
g0,67,133,Minimax,Minimax,1,133,0,0,3,3,65.44,1531.79
g0,68,300,,Random,4,10,0,1,0,0,0.02,1311.26
g0,68,300,,BFS,1,300,0,0,7,2,65.33,1515.57
g0,68,300,,A*,2,300,0,0,14,0,65.59,1517.06
g0,68,300,,Expectimax,3,60,0,1,11,3,64.89,1477.61
g0,66,300,,Random,4,24,0,1,3,1,0.02,1305.59
g0,66,300,,BFS,1,300,0,0,5,0,65.39,1525.37
g0,66,300,,A*,2,300,0,0,3,0,65.46,1518.91
g0,66,300,,AndOrSearch,3,300,0,0,15,10,66.05,1500.66
g0,69,300,,Random,3,43,0,1,2,2,0.02,1308.33
g0,69,300,,BFS,4,18,0,1,4,1,64.86,1511.19
g0,69,300,,HillClimbing,1,300,0,0,0,0,67.01,1519.95
g0,69,300,,SimulatedAnnealing,2,300,0,0,0,0,76.82,1534.12
g0,72,56,HillClimbing,Random,4,10,0,1,0,0,0.02,1302.74
g0,72,56,HillClimbing,BFS,3,51,0,1,12,4,66.68,1505.3
